Id;Unicode;Gardinercode;Symbol
640;U+1327F;O31;𓉿
641;U+13280;O32;𓊀
642;U+13281;O33;𓊁
643;U+13282;O33a;𓊂
644;U+13283;O34;𓊃
645;U+13284;O35;𓊄
646;U+13285;O36;𓊅
647;U+13286;O36a;𓊆
648;U+13287;O36b;𓊇
649;U+13288;O36c;𓊈
650;U+13289;O36d;𓊉
651;U+1328A;O37;𓊊
652;U+1328B;O38;𓊋
653;U+1328C;O39;𓊌
654;U+1328D;O40;𓊍
655;U+1328E;O41;𓊎
656;U+1328F;O42;𓊏
657;U+13290;O43;𓊐
658;U+13291;O44;𓊑
659;U+13292;O45;𓊒
660;U+13293;O46;𓊓
661;U+13294;O47;𓊔
662;U+13295;O48;𓊕
663;U+13296;O49;𓊖
664;U+13297;O50;𓊗
665;U+13298;O50a;𓊘
666;U+13299;O50b;𓊙
667;U+1329A;O51;𓊚
668;U+1329B;P1;𓊛
669;U+1329C;P1a;𓊜
670;U+1329D;P2;𓊝
671;U+1329E;P3;𓊞
672;U+1329F;P3a;𓊟
673;U+132A0;P4;𓊠
674;U+132A1;P5;𓊡
675;U+132A2;P6;𓊢
676;U+132A3;P7;𓊣
677;U+132A4;P8;𓊤
678;U+132A5;P9;𓊥
679;U+132A6;P10;𓊦
680;U+132A7;P11;𓊧
681;U+132A8;Q1;𓊨
682;U+132A9;Q2;𓊩
683;U+132AA;Q3;𓊪
684;U+132AB;Q4;𓊫
685;U+132AC;Q5;𓊬
686;U+132AD;Q6;𓊭
687;U+132AE;Q7;𓊮
688;U+132AF;R1;𓊯
689;U+132B0;R2;𓊰
690;U+132B1;R2a;𓊱
691;U+132B2;R3;𓊲
692;U+132B3;R3a;𓊳
693;U+132B4;R3b;𓊴
694;U+132B5;R4;𓊵
695;U+132B6;R5;𓊶
696;U+132B7;R6;𓊷
697;U+132B8;R7;𓊸
698;U+132B9;R8;𓊹
699;U+132BA;R9;𓊺
700;U+132BB;R10;𓊻
701;U+132BC;R10a;𓊼
702;U+132BD;R11;𓊽
703;U+132BE;R12;𓊾
704;U+132BF;R13;𓊿
705;U+132C0;R14;𓋀
706;U+132C1;R15;𓋁
707;U+132C2;R16;𓋂
708;U+132C3;R16a;𓋃
709;U+132C4;R17;𓋄
710;U+132C5;R18;𓋅
711;U+132C6;R19;𓋆
712;U+132C7;R20;𓋇
713;U+132C8;R21;𓋈
